quarter,stock,name,score_mean,score_std,n_reports,confidence,weight_change
2017_Q1,600795,国电电力,0.0,0.0,0,1.0,0.0
2017_Q1,600803,新奥股份,0.0,0.0,0,1.0,0.0
2017_Q1,600809,山西汾酒,0.2209787666797638,0.0665204100250837,1,0.9376285635044534,0.2071960035669327
2017_Q1,600845,宝信软件,0.0,0.0,0,1.0,0.0
2017_Q1,600875,东方电气,0.0,0.0,0,1.0,0.0
2017_Q1,600886,国投电力,0.0,0.0,0,1.0,0.0
2017_Q1,600887,伊利股份,0.2405300736427307,0.0665204100250837,1,0.9376285635044534,0.225527867429254
2017_Q1,600893,航发动力,0.0,0.0,0,1.0,0.0
2017_Q1,600900,长江电力,0.0,0.0,0,1.0,0.0
2017_Q1,600905,三峡能源,0.0,0.0,0,1.0,0.0
2017_Q1,600918,中泰证券,0.0,0.0,0,1.0,0.0
2017_Q1,600919,江苏银行,0.0,0.0,0,1.0,0.0
2017_Q1,600926,杭州银行,0.0,0.0,0,1.0,0.0
2017_Q1,600938,中国海油,0.0,0.0,0,1.0,0.0
2017_Q1,600941,中国移动,0.0,0.0,0,1.0,0.0
2017_Q1,600958,东方证券,0.0,0.0,0,1.0,0.0
2017_Q1,600989,宝丰能源,0.0,0.0,0,1.0,0.0
2017_Q1,600999,招商证券,0.1339735984802246,0.0665204100250837,1,0.9376285635044534,0.12561747269053541
2017_Q1,601006,大秦铁路,0.139954537153244,0.0665204100250837,1,0.9376285635044534,0.13122537162692682
2017_Q1,601009,南京银行,0.0,0.0,0,1.0,0.0
2017_Q1,601012,隆基绿能,0.1602175235748291,0.0325318879601037,2,0.9684930912648377,0.15516956468178325
2017_Q1,601021,春秋航空,0.0,0.0,0,1.0,0.0
2017_Q1,601058,赛轮轮胎,0.0,0.0,0,1.0,0.0
2017_Q1,601059,信达证券,0.0,0.0,0,1.0,0.0
2017_Q1,601066,中信建投,0.0,0.0,0,1.0,0.0
2017_Q1,601077,渝农商行,0.0,0.0,0,1.0,0.0
2017_Q1,601088,中国神华,0.1359274685382843,0.0665204100250837,1,0.9376285635044534,0.1274494770663483
2017_Q1,601100,恒立液压,0.1949257925152778,0.0148327298597268,2,0.9853840643651914,0.19207676967831047
2017_Q1,601111,中国国航,0.0,0.0,0,1.0,0.0
2017_Q1,601117,中国化学,0.0,0.0,0,1.0,0.0
2017_Q1,601127,赛力斯,0.0,0.0,0,1.0,0.0
2017_Q1,601136,首创证券,0.0,0.0,0,1.0,0.0
2017_Q1,601138,工业富联,0.0,0.0,0,1.0,0.0
2017_Q1,601166,兴业银行,0.0,0.0,0,1.0,0.0
2017_Q1,601169,北京银行,0.0,0.0,0,1.0,0.0
2017_Q1,601186,中国铁建,0.0,0.0,0,1.0,0.0
2017_Q1,601211,国泰海通,0.0,0.0,0,1.0,0.0
2017_Q1,601225,陕西煤业,0.136127084493637,0.0665204100250837,1,0.9376285635044534,0.1276366426878182
2017_Q1,601229,上海银行,0.0,0.0,0,1.0,0.0
2017_Q1,601236,红塔证券,0.0,0.0,0,1.0,0.0
2017_Q1,601238,广汽集团,0.0,0.0,0,1.0,0.0
2017_Q1,601288,农业银行,0.0,0.0,0,1.0,0.0
2017_Q1,601298,青岛港,0.0,0.0,0,1.0,0.0
2017_Q1,601318,中国平安,0.0,0.0,0,1.0,0.0
2017_Q1,601319,中国人保,0.0,0.0,0,1.0,0.0
2017_Q1,601328,交通银行,0.0,0.0,0,1.0,0.0
2017_Q1,601336,新华保险,0.1461294591426849,0.0665204100250837,1,0.9376285635044534,0.13701515486163837
