quarter,stock,name,positive_score,negative_score,avg_confidence,weight_change
2017_Q1,601058,赛轮轮胎,0.0,0.0,0.0,0.0
2017_Q1,601021,春秋航空,0.3380004103316804,0.6619995896683196,0.982197473446528,-0.31823117534319556
2017_Q1,601012,隆基绿能,0.6125665866490987,0.3874334133509013,0.9490732627530252,0.21366787533606243
2017_Q1,601009,南京银行,0.0,0.0,0.0,0.0
2017_Q1,601006,大秦铁路,0.5191760817434492,0.4808239182565508,0.9228146076202391,0.03539193669954942
2017_Q1,600999,招商证券,0.6388991009579874,0.3611008990420126,0.9580081455847796,0.2661329402643092
2017_Q1,600989,宝丰能源,0.0,0.0,0.0,0.0
2017_Q1,600958,东方证券,0.5378945492433249,0.4621054507566751,0.9695281783739724,0.0734796665963672
2017_Q1,600941,中国移动,0.0,0.0,0.0,0.0
2017_Q1,600938,中国海油,0.0,0.0,0.0,0.0
2017_Q1,600926,杭州银行,0.0,0.0,0.0,0.0
2017_Q1,600919,江苏银行,0.5042038648011822,0.4957961351988178,0.8936580047011375,0.007513634860515619
2017_Q1,600918,中泰证券,0.0,0.0,0.0,0.0
2017_Q1,600905,三峡能源,0.0,0.0,0.0,0.0
2017_Q1,600900,长江电力,0.0,0.0,0.0,0.0
2017_Q1,600893,航发动力,0.5197758220559421,0.4802241779440579,0.9264178574085236,0.03664134939511617
2017_Q1,600887,伊利股份,0.6692965953785931,0.3307034046214069,0.9362772345542908,0.31701709628105174
2017_Q1,600886,国投电力,0.0,0.0,0.0,0.0
2017_Q1,600875,东方电气,0.0,0.0,0.0,0.0
2017_Q1,600845,宝信软件,0.0,0.0,0.0,0.0
2017_Q1,600809,山西汾酒,0.4481586695725276,0.5518413304274723,0.8933251755578178,-0.09262233121054517
2017_Q1,600803,新奥股份,0.5136330430782446,0.4863669569217553,0.9670460174481074,0.026367560029029992
2017_Q1,600795,国电电力,0.0,0.0,0.0,0.0
2017_Q1,600760,中航沈飞,0.0,0.0,0.0,0.0
2017_Q1,600741,华域汽车,0.0,0.0,0.0,0.0
2017_Q1,600690,海尔智家,0.4077759008757883,0.5922240991242116,0.9555483758449554,-0.17624917626380923
2017_Q1,600674,川投能源,0.0,0.0,0.0,0.0
2017_Q1,600660,福耀玻璃,0.7806938220200523,0.2193061779799476,0.9417250674703846,0.5286728169607079
2017_Q1,600600,青岛啤酒,0.4917926034985633,0.5082073965014366,0.9700542241334916,-0.015923239290714177
2017_Q1,600588,用友网络,0.8799173179914136,0.1200826820085864,0.9613780613456454,0.7304883492844446
2017_Q1,600585,海螺水泥,0.6351563982363836,0.3648436017636164,0.944683709870214,0.25536009539728577
2017_Q1,600584,长电科技,0.8559947464791865,0.1440052535208135,0.9885373626436506,0.7038282155990601
2017_Q1,600570,恒生电子,0.7480015795775962,0.2519984204224038,0.9911167398095132,0.49159703403711336
2017_Q1,600547,山东黄金,0.4516843567250481,0.5483156432749519,0.955371305346489,-0.09231875836849218
2017_Q1,600519,贵州茅台,0.31826716847819,0.6817328315218101,0.9273026616949784,-0.3370426767750791
2017_Q1,600515,海南机场,0.0,0.0,0.0,0.0
2017_Q1,600489,中金黄金,0.0,0.0,0.0,0.0
2017_Q1,600482,中国动力,0.8024607067064505,0.1975392932935494,0.988445156812668,0.5979316413402558
2017_Q1,600460,士兰微,0.0,0.0,0.0,0.0
2017_Q1,600438,通威股份,0.6304487021287883,0.3695512978712116,0.9604398012161256,0.2505762510829502
2017_Q1,600436,片仔癀,0.0,0.0,0.0,0.0
2017_Q1,600426,华鲁恒升,0.0,0.0,0.0,0.0
2017_Q1,600415,小商品城,0.7259817628349301,0.2740182371650699,0.9138152235084108,0.41301115022765267
2017_Q1,600406,国电南瑞,0.6585112839444021,0.3414887160555979,0.9376244008541108,0.29724809527397167
2017_Q1,600377,宁沪高速,0.4476006419137519,0.5523993580862481,0.985810465282864,-0.10331167115105527
2017_Q1,600372,中航机载,0.7546576395690625,0.2453423604309375,0.9887603968381882,0.503590777516365
2017_Q1,600362,江西铜业,0.0,1.0,0.9901686832308768,-0.9901686832308768
2017_Q1,600346,恒力石化,0.7140826310798596,0.2859173689201404,0.886820117632548,0.3797055681546529
2017_Q1,600332,白云山,0.577813447223142,0.422186552776858,0.9266641515272634,0.14421386409688872
2017_Q1,600309,万华化学,0.2254427200044413,0.7745572799955587,0.9829841719733344,-0.5397709210713704
2017_Q1,600276,恒瑞医药,0.571248435371801,0.4287515646281989,0.9633914264299536,0.13728026356748357
2017_Q1,600233,圆通速递,0.2695837008928907,0.7304162991071093,0.9430062055587768,-0.4345679998397826
2017_Q1,600219,南山铝业,0.0,0.0,0.0,0.0
2017_Q1,600196,复星医药,0.5014397774733127,0.4985602225266873,0.9517021089792252,0.002740478515624949
2017_Q1,600188,兖矿能源,0.2511016553888304,0.7488983446111696,0.9885826855897905,-0.49211318790912634
2017_Q1,600183,生益科技,0.0,0.0,0.0,0.0
2017_Q1,600176,中国巨石,0.0,0.0,0.0,0.0
2017_Q1,600161,天坛生物,0.1088068267816513,0.8911931732183487,0.963259292276282,-0.7536409183552392
2017_Q1,600160,巨化股份,0.5675089395985841,0.4324910604014159,0.9599557844075288,0.12961119413375854
2017_Q1,600150,中国船舶,0.6161342764167311,0.3838657235832688,0.9751860648393632,0.22650505602359783
2017_Q1,600115,中国东航,0.0,0.0,0.0,0.0
2017_Q1,600111,北方稀土,0.0,0.0,0.0,0.0
2017_Q1,600104,上汽集团,0.9038345644484648,0.0961654355515351,0.9456255821620716,0.7637525902074923
2017_Q1,600089,特变电工,0.0,0.0,0.0,0.0
2017_Q1,600085,同仁堂,0.0,0.0,0.0,0.0
2017_Q1,600066,宇通客车,0.6525931844663143,0.3474068155336857,0.9345051273703576,0.28519822657108307
2017_Q1,600061,国投资本,0.0,0.0,0.0,0.0
2017_Q1,600050,中国联通,0.6404484308441424,0.3595515691558576,0.9483334607548184,0.26638389296001863
2017_Q1,600048,保利发展,0.5661290627742004,0.4338709372257996,0.9757085527692524,0.1290453842708042
2017_Q1,600039,四川路桥,0.0,0.0,0.0,0.0
2017_Q1,600036,招商银行,0.3950512414870468,0.6049487585129532,0.9424044329386492,-0.19780835050802975
2017_Q1,600031,三一重工,0.0,0.0,0.0,0.0
2017_Q1,600030,中信证券,0.5755450668147084,0.4244549331852916,0.989234583718436,0.149463585444859
2017_Q1,600029,南方航空,0.8075887403909541,0.1924112596090459,0.9582276741663616,0.5894800866091694
2017_Q1,600028,中国石化,0.5922118425631563,0.4077881574368437,0.9255348670071568,0.17069055088635146
2017_Q1,600027,华电国际,0.0,1.0,0.9885685273579188,-0.9885685273579188
2017_Q1,600026,中远海能,0.0,0.0,0.0,0.0
2017_Q1,600025,华能水电,0.0,0.0,0.0,0.0
2017_Q1,600023,浙能电力,0.0,0.0,0.0,0.0
2017_Q1,600019,宝钢股份,0.5823954145199332,0.4176045854800668,0.9791556426456997,0.16135587011064798
2017_Q1,600018,上港集团,0.0,0.0,0.0,0.0
2017_Q1,600016,民生银行,0.0,0.0,0.0,0.0
2017_Q1,600015,华夏银行,0.0,0.0,0.0,0.0
